model,lang,macro_f1,latency_ms,peak_vram_mb,n_params,n,binary_original,note
xlm-t,darija_ar,0.7230297689417885,109.57839063999565,0.0,278045955,1000,,
xlm-t,francais,0.7720375388939075,1006.0747841900012,0.0,278045955,1000,,
xlm-t,msa,0.8124786560867818,168.40362340799766,0.0,278045955,1000,,
xlm-t,arabizi,0.7622855912721904,145.26040907899733,0.0,278045955,1000,,
camelbert-da,darija_ar,0.7007713189879473,90.93312260099628,0.0,109083651,1000,False,model has native neutral class
camelbert-da,msa,0.9236923076923076,163.68617532999633,0.0,109083651,1000,False,model has native neutral class
distilcamembert,francais,0.9486142302980809,420.88169005700183,0.0,68098565,1000,,
darijabert-arabizi,arabizi,0.9834,3.863,2800.9,170523651,1000,,
darijabert,darija_ar,0.7745,2.689,2359.5,147483651,1000,,
marbertv2,darija_ar,0.8441,2.454,2573.3,162843651,1000,,
marbertv2,msa,0.8375,4.397,3041.4,162843651,1000,,
qarib,darija_ar,0.8265,2.722,2179.9,135195651,1000,,
qarib,msa,0.8118,4.474,2632.5,135195651,1000,,
